x,y,z
42.53,61.93,9.78
42.54,61.9,9.81
42.6,61.92,9.79
42.95,61.8,9.93
42.95,61.76,9.95
43,61.77,9.95
42.99,61.73,9.97
43.04,61.75,9.96
43.05,61.73,9.98
43.09,61.75,9.98
43.1,61.71,10.01
43.16,61.74,10
43.17,61.71,10.02
43.2,61.72,10.02
43.21,61.69,10.03
43.57,61.57,10.17
43.62,61.61,10.15
43.63,61.57,10.17
43.67,61.59,10.17
43.66,61.55,10.2
43.72,61.57,10.19
43.74,61.54,10.21
43.77,61.56,10.21
43.77,61.53,10.23
43.83,61.54,10.23
43.84,61.51,10.24
43.88,61.52,10.24
44.26,61.45,10.36
44.26,61.41,10.38
44.31,61.43,10.38
44.32,61.4,10.4
44.36,61.41,10.4
44.37,61.38,10.42
44.41,61.4,10.41
44.41,61.37,10.44
44.46,61.39,10.43
44.47,61.36,10.45
44.52,61.37,10.45
82.83,1.31,0.05
44.89,61.24,10.6
44.94,61.27,10.59
44.96,61.24,10.6
45,61.26,10.6
45,61.23,10.62
45.04,61.25,10.62
45.07,61.22,10.64
45.1,61.24,10.63
45.12,61.22,10.65
45.15,61.24,10.64
45.17,61.2,10.66
45.53,61.12,10.78
45.59,61.13,10.78
45.59,61.11,10.79
45.64,61.13,10.79
45.63,61.08,10.82
45.68,61.11,10.81
45.69,61.08,10.83
45.74,61.11,10.83
45.74,61.07,10.85
45.8,61.1,10.84
45.81,61.07,10.86
45.83,61.08,10.86
46.22,60.99,11
46.23,60.96,11.02
46.27,60.97,11.02
46.28,60.95,11.02
46.33,60.96,11.02
46.33,60.94,11.04
46.37,60.95,11.04
46.39,60.94,11.06
46.43,60.95,11.06
46.45,60.93,11.06
46.49,60.94,11.06
46.5,60.92,11.09
46.9,60.87,11.2
46.92,60.87,11.2
46.93,60.85,11.21
46.96,60.86,11.22
47,60.84,11.24
47.03,60.85,11.24
47.06,60.84,11.25
47.08,60.86,11.24
47.1,60.83,11.26
47.13,60.84,11.27
47.15,60.81,11.29
47.2,60.84,11.28
47.58,60.8,11.38
47.61,60.78,11.39
47.65,60.8,11.4
47.68,60.78,11.41
47.72,60.8,11.4
47.74,60.79,11.42
47.77,60.8,11.42
47.78,60.77,11.43
47.82,60.79,11.43
47.84,60.77,11.44
47.87,60.79,11.44
81.94,1.04,1.02
48.28,60.72,11.57
48.32,60.74,11.57
48.36,60.72,11.59
48.38,60.73,11.58
48.39,60.71,11.59
48.43,60.73,11.6
48.46,60.71,11.62
48.49,60.72,11.61
48.51,60.71,11.62
48.53,60.71,11.62
48.56,60.69,11.64
48.95,60.64,11.75
49,60.65,11.75
48.99,60.63,11.76
49.04,60.64,11.77
49.06,60.63,11.77
49.09,60.63,11.79
49.12,60.63,11.79
49.15,60.63,11.8
49.18,60.63,11.81
49.2,60.62,11.82
49.24,60.62,11.82
49.27,60.63,11.82
49.67,60.62,11.9
49.69,60.61,11.91
49.73,60.63,11.91
49.75,60.61,11.93
49.8,60.63,11.92
49.82,60.62,11.93
49.85,60.62,11.94
49.86,60.61,11.94
49.89,60.62,11.95
49.92,60.6,11.97
49.96,60.61,11.96
49.98,60.6,11.97
50.39,60.59,12.07
50.42,60.6,12.07
50.44,60.59,12.08
50.47,60.6,12.08
50.5,60.59,12.09
50.53,60.59,12.09
50.55,60.58,12.09
50.58,60.59,12.1
50.61,60.58,12.11
50.64,60.59,12.12
50.66,60.58,12.12
50.69,60.59,12.12
51.11,60.6,12.21
51.13,60.59,12.21
51.16,60.6,12.21
51.19,60.59,12.22
51.22,60.6,12.23
51.25,60.6,12.23
51.28,60.6,12.24
51.31,60.6,12.24
51.35,60.6,12.25
51.36,60.58,12.26
51.39,60.59,12.27
51.79,60.58,12.36
51.82,60.57,12.38
51.86,60.57,12.38
51.88,60.57,12.38
51.92,60.57,12.38
51.93,60.58,12.39
51.98,60.59,12.4
52.01,60.58,12.41
52.05,60.59,12.41
52.06,60.57,12.42
52.1,60.57,12.43
52.1,60.56,12.44
52.53,60.55,12.54
52.56,60.56,12.54
52.59,60.55,12.56
52.62,60.55,12.57
52.65,60.55,12.57
52.69,60.55,12.57
52.7,60.54,12.58
52.72,60.54,12.6
52.75,60.54,12.6
52.79,60.54,12.61
52.81,60.54,12.61
52.84,60.54,12.61
53.25,60.54,12.7
53.26,60.54,12.7
53.31,60.54,12.71
53.33,60.55,12.72
53.36,60.55,12.72
53.38,60.54,12.73
53.43,60.54,12.74
53.44,60.54,12.74
53.48,60.54,12.75
53.5,60.54,12.75
53.53,60.54,12.76
53.56,60.53,12.78
53.96,60.53,12.85
53.98,60.52,12.86
54,60.52,12.87
54.03,60.52,12.88
54.07,60.52,12.88
54.1,60.51,12.89
54.14,60.53,12.89
54.15,60.52,12.9
54.2,60.53,12.92
54.22,60.52,12.92
54.25,60.53,12.91
54.27,60.53,12.92
