x,y,z
92.62,54.86,27.38
92.32,54.91,27.31
92.3,54.93,27.3
92.28,54.92,27.29
92.26,54.92,27.29
92.23,54.93,27.28
92.22,54.95,27.27
92.19,54.95,27.27
92.17,54.94,27.27
92.14,54.95,27.26
92.11,54.96,27.25
92.1,54.96,27.24
92.09,54.96,27.25
91.79,55.01,27.18
91.76,55,27.18
91.73,55.01,27.18
91.71,55.02,27.17
91.7,55.02,27.16
91.67,55.02,27.16
91.66,55.03,27.15
91.64,55.04,27.14
91.61,55.05,27.14
91.6,55.05,27.14
91.56,55.06,27.12
91.55,55.07,27.12
91.23,55.14,27.03
91.22,55.15,27.03
91.19,55.15,27.02
91.17,55.16,27.02
91.16,55.17,27.01
91.13,55.16,27.01
91.09,55.16,27
91.08,55.17,27
91.05,55.17,26.99
91.03,55.19,26.98
91.02,55.19,26.97
99.67,4.81,7.87
90.66,55.27,26.88
90.65,55.27,26.87
90.61,55.29,26.86
90.58,55.3,26.84
90.57,55.31,26.84
90.55,55.31,26.84
90.52,55.32,26.83
90.49,55.33,26.81
90.47,55.33,26.81
90.46,55.33,26.81
90.43,55.34,26.8
90.11,55.49,26.66
90.08,55.5,26.65
90.06,55.5,26.65
90.03,55.51,26.63
90.03,55.53,26.62
90,55.54,26.61
89.98,55.55,26.61
89.95,55.55,26.6
89.93,55.58,26.58
89.9,55.59,26.57
89.88,55.6,26.56
89.85,55.6,26.55
89.54,55.78,26.4
89.49,55.8,26.37
89.47,55.85,26.33
89.46,55.87,26.32
89.44,55.86,26.32
89.41,55.82,26.34
89.41,55.84,26.33
89.39,55.87,26.31
89.41,55.92,26.28
89.39,55.92,26.29
89.34,55.93,26.27
89.29,55.98,26.22
88.8,56.11,26.03
88.78,56.14,26.01
88.74,56.16,25.99
88.69,56.17,25.97
88.66,56.18,25.96
88.64,56.18,25.96
88.63,56.19,25.95
88.63,56.21,25.94
88.59,56.21,25.93
88.56,56.24,25.91
88.51,56.25,25.89
88.49,56.27,25.87
88,56.43,25.68
87.97,56.43,25.67
87.93,56.44,25.65
87.9,56.45,25.64
87.88,56.47,25.62
87.85,56.48,25.6
87.83,56.5,25.59
87.8,56.51,25.58
87.79,56.54,25.57
87.78,56.55,25.56
87.74,56.57,25.54
87.69,56.56,25.53
87.38,56.75,25.36
87.38,56.77,25.35
87.38,56.76,25.36
87.38,56.74,25.38
87.41,56.74,25.39
87.46,56.77,25.39
87.49,56.83,25.37
87.5,56.9,25.33
87.5,56.94,25.3
87.47,56.95,25.29
87.43,56.94,25.29
87.03,57.08,25.13
87,57.08,25.12
86.96,57.06,25.12
86.93,57.08,25.11
86.91,57.11,25.09
86.89,57.15,25.06
86.87,57.16,25.05
86.84,57.14,25.06
86.8,57.12,25.07
86.78,57.14,25.05
86.76,57.17,25.03
86.74,57.22,25
86.14,57.3,24.81
86.13,57.3,24.81
86.09,57.28,24.82
86.07,57.3,24.81
86.07,57.33,24.79
86.03,57.36,24.77
86,57.36,24.76
85.94,57.35,24.76
85.93,57.35,24.75
85.91,57.36,24.75
85.89,57.35,24.75
85.86,57.34,24.75
85.56,57.46,24.65
85.52,57.46,24.64
85.52,57.46,24.64
85.52,57.45,24.65
85.52,57.47,24.64
85.5,57.49,24.63
85.48,57.51,24.61
85.46,57.52,24.61
85.42,57.54,24.59
85.39,57.53,24.58
85.35,57.54,24.58
85.33,57.54,24.57
84.99,57.59,24.5
84.97,57.61,24.48
84.95,57.63,24.47
84.93,57.65,24.46
84.92,57.62,24.47
84.9,57.62,24.48
84.88,57.63,24.47
84.88,57.66,24.45
84.86,57.65,24.46
84.84,57.66,24.45
84.8,57.66,24.44
84.47,57.76,24.34
84.45,57.78,24.33
84.43,57.78,24.33
84.42,57.79,24.32
84.4,57.79,24.31
84.38,57.8,24.3
84.36,57.81,24.3
84.33,57.82,24.29
84.3,57.83,24.27
84.26,57.84,24.26
84.22,57.84,24.25
84.18,57.84,24.25
83.78,57.94,24.12
83.76,57.93,24.13
83.74,57.93,24.12
83.72,57.95,24.11
83.7,57.95,24.11
83.68,57.97,24.09
83.65,57.99,24.08
83.62,58,24.06
83.58,58.01,24.05
83.54,58.02,24.04
83.5,58.02,24.03
83.46,58.01,24.02
83.08,58.11,23.91
83.06,58.14,23.89
83.04,58.16,23.87
83.02,58.17,23.86
83,58.19,23.85
82.96,58.19,23.83
82.94,58.22,23.81
82.9,58.22,23.8
82.86,58.22,23.8
82.82,58.22,23.79
82.8,58.24,23.78
82.76,58.24,23.77
82.37,58.42,23.58
82.35,58.44,23.57
82.31,58.44,23.55
82.29,58.48,23.53
82.24,58.5,23.51
82.2,58.5,23.5
82.17,58.49,23.49
82.14,58.51,23.48
82.12,58.54,23.46
82.08,58.54,23.45
82.06,58.54,23.45
47.34,58.93,10.02
81.59,58.82,23.17
81.55,58.83,23.16
81.51,58.83,23.16
81.49,58.84,23.15
81.46,58.86,23.13
81.44,58.88,23.11
81.42,58.89,23.1
81.38,58.9,23.09
81.36,58.92,23.07
81.32,58.94,23.05
81.29,58.95,23.04
81.25,58.96,23.02
80.86,59.18,22.81
80.83,59.19,22.8
80.79,59.19,22.79
80.77,59.22,22.77
80.75,59.23,22.75
80.72,59.25,22.74
80.68,59.25,22.73
80.66,59.26,22.72
80.64,59.28,22.71
80.61,59.31,22.68
80.57,59.31,22.68
80.55,59.32,22.66
80.13,59.5,22.47
80.09,59.52,22.45
80.06,59.55,22.42
80.04,59.57,22.41
80,59.57,22.4
79.97,59.58,22.39
79.95,59.61,22.37
79.92,59.62,22.35
79.9,59.63,22.35
79.88,59.63,22.34
79.85,59.65,22.33
79.81,59.67,22.31
79.41,59.84,22.13
79.37,59.85,22.12
79.35,59.85,22.12
79.33,59.87,22.1
79.3,59.88,22.09
79.28,59.89,22.08
79.25,59.89,22.08
79.21,59.9,22.06
79.19,59.93,22.04
79.16,59.94,22.03
79.12,59.94,22.03
30.9,6.28,14.99
78.67,60.09,21.85
78.63,60.1,21.84
78.6,60.11,21.84
78.58,60.12,21.83
78.55,60.12,21.82
78.53,60.12,21.82
78.51,60.13,21.82
78.48,60.13,21.81
78.44,60.14,21.79
78.41,60.15,21.79
78.37,60.15,21.78
77.92,60.22,21.67
77.9,60.24,21.66
77.87,60.25,21.64
77.85,60.26,21.64
77.8,60.26,21.63
77.78,60.27,21.62
77.75,60.27,21.61
77.71,60.27,21.61
77.66,60.27,21.6
77.64,60.28,21.59
77.61,60.28,21.59
77.57,60.29,21.57
77.13,60.37,21.47
77.1,60.37,21.46
77.08,60.37,21.47
77.03,60.37,21.46
76.99,60.37,21.45
76.96,60.37,21.44
76.94,60.38,21.44
76.89,60.38,21.43
76.87,60.38,21.43
76.84,60.39,21.42
76.79,60.39,21.41
76.77,60.4,21.4
76.28,60.47,21.28
76.26,60.47,21.28
76.21,60.47,21.27
76.2,60.5,21.25
76.15,60.51,21.24
76.13,60.5,21.24
76.08,60.51,21.23
76.06,60.52,21.22
76.03,60.53,21.2
75.98,60.52,21.2
75.96,60.52,21.2
75.91,60.53,21.19
75.43,60.63,21.05
75.41,60.66,21.02
75.37,60.66,21.02
75.33,60.66,21.01
75.3,60.67,21
75.25,60.69,20.98
75.23,60.69,20.97
75.18,60.68,20.98
75.15,60.68,20.97
75.13,60.7,20.96
75.1,60.72,20.93
21.56,28.44,56.09
74.58,60.84,20.77
74.55,60.85,20.76
74.51,60.86,20.74
74.47,60.88,20.73
74.45,60.89,20.72
74.42,60.89,20.71
74.39,60.91,20.7
74.36,60.93,20.68
74.33,60.94,20.67
74.29,60.96,20.65
74.25,60.97,20.63
73.79,61.16,20.42
73.76,61.18,20.4
73.71,61.19,20.38
73.68,61.22,20.36
73.63,61.22,20.35
73.6,61.24,20.34
73.57,61.25,20.32
73.54,61.27,20.3
73.51,61.27,20.3
73.49,61.28,20.28
73.46,61.31,20.26
73.42,61.33,20.24
72.95,61.53,20.02
72.9,61.54,20.01
72.87,61.55,19.99
72.84,61.57,19.97
72.8,61.6,19.95
72.78,61.61,19.93
72.73,61.61,19.92
72.69,61.62,19.92
72.66,61.64,19.9
72.61,61.65,19.88
72.61,61.68,19.85
72.56,61.69,19.84
72.1,61.87,19.66
72.07,61.87,19.65
72.04,61.89,19.63
71.99,61.91,19.6
71.98,61.92,19.59
71.93,61.93,19.58
71.9,61.94,19.57
71.87,61.96,19.55
71.83,61.98,19.54
71.8,61.99,19.52
71.77,62,19.51
71.72,62.01,19.49
71.24,62.17,19.31
71.2,62.19,19.29
71.17,62.2,19.27
71.14,62.21,19.26
71.09,62.23,19.24
71.05,62.23,19.24
71.02,62.24,19.22
70.99,62.25,19.21
70.96,62.26,19.2
70.93,62.26,19.2
70.88,62.27,19.18
70.38,62.41,19.02
70.35,62.43,19
70.31,62.44,18.99
70.28,62.44,18.98
70.25,62.45,18.98
70.2,62.46,18.96
70.19,62.47,18.95
70.13,62.49,18.93
70.1,62.48,18.93
70.07,62.48,18.93
70.04,62.49,18.91
69.99,62.5,18.9
69.46,62.57,18.79
69.43,62.56,18.79
69.39,62.58,18.77
69.36,62.59,18.76
69.33,62.6,18.75
69.27,62.59,18.75
69.26,62.59,18.75
69.23,62.61,18.74
69.17,62.62,18.72
69.14,62.62,18.71
69.08,62.62,18.71
69.05,62.62,18.7
68.51,62.7,18.57
68.48,62.72,18.56
68.45,62.71,18.55
68.39,62.71,18.55
68.34,62.71,18.54
68.3,62.71,18.54
68.25,62.71,18.53
68.21,62.71,18.53
68.18,62.71,18.52
68.15,62.71,18.52
68.11,62.72,18.51
68.08,62.72,18.51
67.49,62.74,18.42
67.45,62.76,18.4
67.42,62.76,18.4
67.37,62.76,18.39
67.33,62.76,18.38
67.3,62.77,18.37
67.26,62.79,18.35
67.21,62.79,18.34
67.17,62.8,18.33
67.13,62.8,18.32
67.1,62.82,18.31
30.74,28.85,46.34
66.48,62.92,18.14
66.45,62.92,18.14
66.39,62.93,18.12
66.35,62.94,18.1
66.3,62.96,18.08
66.26,62.97,18.06
66.23,62.97,18.06
66.19,62.98,18.04
66.15,62.99,18.03
66.11,63.01,18.01
66.06,63.01,18
65.5,63.16,17.81
65.46,63.17,17.8
65.42,63.18,17.78
65.39,63.2,17.76
65.33,63.21,17.75
65.3,63.21,17.74
65.26,63.22,17.72
65.22,63.24,17.71
65.18,63.25,17.7
65.12,63.24,17.69
65.09,63.25,17.67
65.05,63.27,17.66
64.5,63.45,17.44
64.46,63.46,17.42
64.42,63.47,17.41
64.38,63.48,17.4
64.34,63.5,17.37
64.31,63.52,17.35
64.27,63.54,17.33
64.23,63.55,17.31
64.19,63.57,17.3
64.15,63.59,17.28
64.13,63.6,17.26
64.07,63.62,17.25
63.5,63.78,17.04
63.47,63.79,17.02
63.43,63.81,17
63.39,63.83,16.98
63.35,63.84,16.96
63.31,63.87,16.93
63.29,63.89,16.91
63.25,63.91,16.9
63.19,63.91,16.89
63.15,63.91,16.88
63.11,63.93,16.86
63.09,63.96,16.84
62.52,64.09,16.66
62.49,64.1,16.65
62.44,64.12,16.63
62.42,64.14,16.62
62.38,64.15,16.61
62.34,64.15,16.6
62.3,64.16,16.59
62.26,64.18,16.57
62.21,64.19,16.55
62.17,64.21,16.53
62.13,64.22,16.52
61.6,64.42,16.29
61.56,64.44,16.27
61.51,64.46,16.24
61.49,64.47,16.24
61.45,64.48,16.23
61.38,64.47,16.23
61.37,64.49,16.21
61.33,64.5,16.21
61.28,64.51,16.19
61.24,64.51,16.18
61.18,64.52,16.16
61.14,64.54,16.14
60.56,64.67,15.97
60.52,64.68,15.96
60.48,64.69,15.95
60.44,64.7,15.93
60.39,64.71,15.91
60.37,64.73,15.9
60.33,64.73,15.89
60.28,64.74,15.88
60.24,64.75,15.87
60.17,64.74,15.87
60.14,64.74,15.86
60.09,64.75,15.86
59.47,64.84,15.71
59.43,64.84,15.7
59.38,64.84,15.69
59.33,64.83,15.7
59.3,64.83,15.69
59.25,64.84,15.68
59.21,64.85,15.67
59.14,64.84,15.67
59.1,64.85,15.65
59.05,64.86,15.65
59.01,64.87,15.63
58.96,64.87,15.62
58.3,64.9,15.52
58.26,64.9,15.52
58.2,64.9,15.51
58.15,64.9,15.51
58.11,64.9,15.51
58.07,64.89,15.51
58.03,64.9,15.49
57.98,64.9,15.49
57.93,64.9,15.48
57.87,64.9,15.47
57.82,64.9,15.46
160.86,20.7,5.19
57.07,64.97,15.33
57.03,64.97,15.32
56.97,64.97,15.3
56.92,64.98,15.29
56.87,64.99,15.27
56.8,64.99,15.26
56.76,64.98,15.26
56.73,65,15.26
56.69,65,15.25
56.64,65,15.24
