x,y,z
90.26,53,27.85
90.25,53,27.84
90.23,53.01,27.84
89.97,53.12,27.76
89.94,53.12,27.76
89.92,53.13,27.75
89.91,53.14,27.75
89.89,53.15,27.74
89.88,53.16,27.74
89.86,53.17,27.73
89.83,53.18,27.72
89.82,53.19,27.72
89.8,53.19,27.71
89.77,53.2,27.71
89.86,2.12,0.32
89.48,53.31,27.63
89.45,53.31,27.62
89.44,53.32,27.61
89.42,53.33,27.61
89.41,53.34,27.6
89.39,53.35,27.6
89.37,53.36,27.59
89.34,53.37,27.58
89.33,53.37,27.58
89.31,53.38,27.58
89.29,53.39,27.56
89,53.51,27.48
89,53.51,27.47
88.96,53.52,27.46
88.94,53.53,27.46
88.92,53.54,27.45
88.91,53.54,27.45
88.89,53.55,27.44
88.86,53.56,27.43
88.84,53.58,27.42
88.83,53.58,27.42
88.81,53.6,27.41
88.78,53.6,27.4
88.48,53.71,27.31
88.46,53.72,27.3
88.43,53.73,27.29
88.42,53.73,27.29
88.4,53.74,27.28
88.37,53.75,27.27
88.35,53.76,27.27
88.33,53.77,27.26
88.3,53.78,27.25
88.28,53.79,27.24
88.27,53.79,27.24
88.23,53.8,27.23
87.93,53.93,27.12
87.91,53.93,27.12
87.9,53.94,27.11
87.86,53.95,27.1
87.85,53.96,27.1
87.83,53.97,27.08
87.8,53.98,27.08
87.78,53.98,27.07
87.75,53.99,27.06
87.73,54,27.06
87.71,54.01,27.05
87.69,54.02,27.04
87.35,54.13,26.94
87.34,54.14,26.92
87.3,54.15,26.91
87.28,54.16,26.91
87.27,54.17,26.89
87.23,54.18,26.89
87.22,54.19,26.88
87.2,54.2,26.87
87.16,54.21,26.87
87.15,54.21,26.86
87.13,54.22,26.85
86,42.56,17.96
86.73,54.38,26.7
86.69,54.38,26.7
86.68,54.39,26.69
86.66,54.41,26.68
86.62,54.41,26.67
86.61,54.42,26.67
86.59,54.43,26.66
86.55,54.44,26.65
86.53,54.45,26.64
86.5,54.46,26.63
86.48,54.47,26.62
86.46,54.48,26.61
86.11,54.6,26.49
86.07,54.61,26.48
86.05,54.61,26.48
86.04,54.62,26.46
86,54.64,26.45
85.98,54.65,26.45
85.95,54.66,26.43
85.93,54.66,26.43
85.91,54.67,26.42
85.88,54.68,26.41
85.86,54.69,26.4
85.84,54.7,26.39
85.46,54.82,26.26
85.44,54.84,26.25
85.42,54.84,26.24
85.39,54.86,26.23
85.37,54.86,26.22
85.33,54.87,26.21
85.31,54.88,26.21
85.29,54.89,26.2
85.26,54.9,26.19
85.24,54.91,26.18
85.22,54.92,26.17
85.18,54.93,26.16
84.81,55.05,26.03
84.8,55.06,26.02
84.78,55.07,26.01
84.74,55.08,26.01
84.72,55.09,25.99
84.7,55.09,25.99
84.66,55.1,25.98
84.65,55.11,25.97
84.61,55.12,25.96
84.59,55.13,25.95
84.55,55.14,25.94
22.31,47.99,41.05
84.17,55.27,25.8
84.14,55.28,25.79
84.12,55.29,25.78
84.08,55.3,25.77
84.06,55.31,25.76
84.02,55.32,25.75
84,55.33,25.74
83.98,55.34,25.73
83.95,55.35,25.72
83.93,55.35,25.72
83.91,55.36,25.71
83.52,55.49,25.57
83.49,55.5,25.56
83.47,55.51,25.55
83.44,55.53,25.54
83.41,55.53,25.53
83.39,55.54,25.52
83.35,55.54,25.51
83.33,55.56,25.5
83.31,55.57,25.49
83.27,55.58,25.48
83.25,55.59,25.47
83.21,55.59,25.46
82.84,55.72,25.33
82.8,55.73,25.31
82.78,55.74,25.31
82.74,55.75,25.29
82.72,55.76,25.29
82.68,55.77,25.27
82.66,55.78,25.26
82.64,55.78,25.26
82.6,55.8,25.24
82.58,55.81,25.23
82.54,55.82,25.22
82.52,55.83,25.21
82.12,55.95,25.07
82.08,55.96,25.06
82.06,55.98,25.04
82.04,55.98,25.04
82,55.99,25.03
81.98,56,25.02
81.96,56.01,25.01
81.92,56.02,25
81.9,56.03,24.99
81.86,56.04,24.98
81.84,56.05,24.96
81.8,56.05,24.96
81.41,56.18,24.81
81.37,56.2,24.8
81.35,56.21,24.79
81.32,56.22,24.78
81.29,56.23,24.77
81.26,56.23,24.76
81.24,56.24,24.75
81.2,56.25,24.74
81.18,56.26,24.73
81.14,56.27,24.72
81.12,56.29,24.71
80.72,56.42,24.56
80.68,56.43,24.55
80.66,56.44,24.54
80.62,56.44,24.53
80.59,56.46,24.51
80.57,56.47,24.5
80.53,56.48,24.49
80.51,56.49,24.48
80.47,56.5,24.47
80.45,56.5,24.46
80.43,56.51,24.45
80.39,56.52,24.44
79.96,56.65,24.29
79.94,56.66,24.28
79.91,56.68,24.27
79.87,56.69,24.25
79.85,56.69,24.25
79.82,56.71,24.24
79.78,56.72,24.22
79.76,56.72,24.22
79.72,56.73,24.2
79.7,56.73,24.2
79.66,56.75,24.18
79.63,56.75,24.18
79.2,56.88,24.03
79.18,56.89,24.01
79.13,56.9,24.01
79.11,56.91,24
79.07,56.92,23.98
79.04,56.93,23.97
79.02,56.94,23.96
78.98,56.95,23.95
78.96,56.95,23.94
78.93,56.96,23.93
78.89,56.97,23.92
78.87,56.98,23.9
78.42,57.12,23.75
78.38,57.13,23.74
78.36,57.14,23.72
78.33,57.15,23.72
78.29,57.16,23.7
78.27,57.17,23.69
78.24,57.17,23.69
78.2,57.18,23.67
78.18,57.19,23.66
78.14,57.2,23.65
78.11,57.21,23.64
18.37,55.69,24.74
77.65,57.36,23.47
77.61,57.37,23.46
77.58,57.38,23.45
77.56,57.39,23.44
77.52,57.4,23.42
77.49,57.4,23.42
77.45,57.42,23.4
77.42,57.42,23.4
77.4,57.43,23.39
77.36,57.44,23.37
77.33,57.45,23.36
76.87,57.59,23.2
76.84,57.6,23.18
76.82,57.61,23.18
76.77,57.62,23.16
76.75,57.63,23.15
76.72,57.63,23.15
76.68,57.64,23.13
76.65,57.65,23.12
76.61,57.66,23.1
76.59,57.67,23.1
76.56,57.69,23.08
76.51,57.69,23.08
76.06,57.82,22.92
76.04,57.84,22.9
76.01,57.84,22.9
75.97,57.85,22.89
75.94,57.86,22.87
75.91,57.87,22.86
75.87,57.88,22.85
75.84,57.89,22.84
75.82,57.9,22.83
75.77,57.91,22.81
75.75,57.92,22.8
75.72,57.93,22.8
75.26,58.06,22.63
75.21,58.07,22.62
75.19,58.08,22.61
75.16,58.09,22.6
75.11,58.1,22.59
75.09,58.11,22.57
75.06,58.11,22.57
75.02,58.12,22.55
74.99,58.13,22.54
74.94,58.14,22.53
74.92,58.15,22.52
74.89,58.15,22.51
74.42,58.28,22.35
74.37,58.29,22.34
74.35,58.3,22.33
74.32,58.31,22.32
74.27,58.32,22.31
74.24,58.33,22.3
74.21,58.34,22.29
74.17,58.35,22.27
74.14,58.36,22.26
74.11,58.37,22.25
74.07,58.37,22.24
73.6,58.51,22.08
73.58,58.52,22.07
73.53,58.53,22.05
73.5,58.53,22.05
73.48,58.54,22.03
73.43,58.55,22.03
73.4,58.56,22.01
73.35,58.57,22
73.32,58.58,21.98
73.29,58.59,21.98
73.27,58.6,21.96
73.22,58.61,21.95
72.74,58.74,21.79
72.72,58.75,21.77
72.67,58.76,21.76
72.64,58.77,21.75
72.61,58.78,21.74
72.56,58.78,21.73
72.54,58.79,21.72
72.51,58.8,21.71
72.46,58.81,21.7
72.43,58.82,21.69
72.4,58.83,21.68
72.37,58.84,21.66
71.87,58.97,21.5
71.84,58.98,21.49
71.81,58.98,21.48
71.76,58.99,21.47
71.73,59,21.46
71.7,59.01,21.44
71.65,59.01,21.44
71.63,59.02,21.42
71.6,59.04,21.41
71.57,59.05,21.4
71.54,59.06,21.38
71.49,59.07,21.38
71.01,59.21,21.21
70.96,59.21,21.19
70.93,59.22,21.19
70.88,59.23,21.17
70.85,59.24,21.16
70.82,59.24,21.15
70.79,59.25,21.14
70.76,59.26,21.13
70.71,59.28,21.11
70.68,59.28,21.11
70.65,59.3,21.09
86.56,12.36,29.83
70.12,59.43,20.92
70.06,59.43,20.91
70.03,59.44,20.89
70,59.45,20.88
69.95,59.46,20.87
69.92,59.47,20.86
69.89,59.47,20.85
69.86,59.49,20.84
69.83,59.5,20.83
69.78,59.51,20.81
69.75,59.52,20.81
69.25,59.65,20.64
69.21,59.65,20.63
69.17,59.66,20.62
69.14,59.67,20.6
69.1,59.68,20.6
69.05,59.69,20.58
69.02,59.7,20.57
68.99,59.71,20.56
68.95,59.72,20.55
68.92,59.73,20.54
68.89,59.74,20.52
68.84,59.75,20.51
68.31,59.87,20.34
68.28,59.88,20.33
68.25,59.89,20.32
68.2,59.89,20.31
68.16,59.9,20.3
68.13,59.91,20.29
68.1,59.92,20.28
68.05,59.93,20.26
68.02,59.94,20.25
67.98,59.95,20.24
67.95,59.96,20.23
67.92,59.96,20.21
67.38,60.09,20.05
67.34,60.1,20.03
67.31,60.11,20.03
67.28,60.12,20.01
67.23,60.12,20
67.19,60.14,19.98
67.15,60.15,19.98
67.12,60.16,19.96
67.09,60.17,19.95
67.04,60.18,19.94
67,60.19,19.92
66.97,60.2,19.91
66.44,60.32,19.74
66.4,60.33,19.73
66.35,60.34,19.72
66.32,60.35,19.71
66.28,60.36,19.7
66.25,60.36,19.68
66.2,60.36,19.67
66.16,60.38,19.66
66.13,60.39,19.65
66.1,60.4,19.64
66.06,60.4,19.63
84.38,0.98,0.71
65.46,60.53,19.44
65.42,60.55,19.43
65.39,60.56,19.42
65.35,60.56,19.41
